outcome,category_name,sub_category_name,goal,pledged,outcome
successful,Publishing,Poetry,2500,3295,successful
failed,Fashion,Fashion,2000,140,failed
successful,"Film & Video",Shorts,2000,2211,successful
successful,Music,"Indie Rock",5000,5000,successful
successful,Games,"Tabletop Games",8800,38123,successful
failed,"Film & Video",Comedy,700,0,failed
failed,Food,Food,9500,210,failed
failed,Design,"Product Design",5000,1211,failed
successful,Games,"Tabletop Games",30000,100273,successful
successful,Photography,Photography,250,280,successful
failed,Design,"Product Design",50000,1831,failed
failed,Art,Art,400,24,failed
successful,Publishing,"Radio & Podcasts",6000,6179,successful
failed,Publishing,Publishing,300,156,failed
failed,Fashion,Apparel,1000,351,failed
failed,Art,Illustration,3000,0,failed
failed,Music,Hip-Hop,15000,0,failed
failed,Fashion,Fashion,7000,30,failed
successful,Games,"Tabletop Games",3500,4063,successful
failed,"Film & Video",Documentary,10000,5,failed
successful,Music,Music,8000,9897,successful
failed,Publishing,Nonfiction,7500,1,failed
successful,Music,"Indie Rock",8000,8062.54,successful
failed,Art,Art,1000,0,failed
successful,"Film & Video",Documentary,15000,15204,successful
failed,Art,"Performance Art",30000,0,failed
failed,Fashion,Fashion,15000,1178,failed
failed,"Film & Video",Shorts,3300,1705,failed
failed,Publishing,Nonfiction,5000,38,failed
successful,Art,"Mixed Media",350,1610,successful
successful,Theater,Plays,750,1025,successful
failed,"Film & Video",Television,1000000,520,failed
failed,Publishing,"Children's Books",20000,6844,failed
successful,Fashion,Fashion,3500,3583,successful
failed,Design,Design,17000,6138,failed
failed,Publishing,Fiction,10000,0,failed
failed,Publishing,Fiction,1360,162,failed
failed,"Film & Video",Documentary,5000,335,failed
successful,"Film & Video",Drama,5000,6890.25,successful
successful,"Film & Video",Shorts,30000,32274.69,successful
failed,Publishing,Nonfiction,20000,0,failed
failed,Music,Music,4200,690,failed
successful,Technology,Hardware,10000,25314,successful
failed,Fashion,Fashion,2500,0,failed
failed,Art,Painting,3000,5,failed
successful,Publishing,"Art Books",6000,10415,successful
failed,"Film & Video",Documentary,100000,45,failed
failed,Fashion,Apparel,30000,1060,failed
failed,Art,"Conceptual Art",200,134.99,failed
successful,Dance,Dance,4200,4269,successful
successful,Theater,Theater,6000,6162,successful
successful,"Film & Video",Shorts,1000,1105,successful
failed,"Film & Video",Webseries,1000,0,failed
failed,"Film & Video","Film & Video",500,202,failed
failed,"Film & Video",Shorts,15000,0,failed
successful,Design,"Product Design",500,577,successful
successful,Music,Music,10000,10773,successful
successful,Music,Jazz,6000,6310,successful
failed,Design,"Product Design",25000,1104,failed
failed,Publishing,Nonfiction,27000,445,failed
failed,"Film & Video",Documentary,75000,351,failed
failed,Comics,Comics,300,65,failed
failed,Music,Music,1800,0,failed
successful,"Film & Video",Shorts,1300,1325,successful
failed,Fashion,Accessories,5000,61,failed
failed,Publishing,Nonfiction,1000,261,failed
failed,Technology,Technology,2000,38,failed
failed,Publishing,Nonfiction,14000,3178,failed
successful,"Film & Video","Film & Video",25000,25305,successful
failed,"Film & Video",Webseries,2000,100,failed
successful,Music,Music,1300,1522,successful
failed,"Film & Video",Documentary,25000,11202,failed
failed,"Film & Video","Movie Theaters",30000,0,failed
failed,"Film & Video",Documentary,15000,0,failed
failed,"Film & Video",Documentary,10000,3285,failed
successful,Art,Installations,3000,3575,successful
successful,Food,Restaurants,35000,35115,successful
successful,Art,Art,20,20,successful
failed,Crafts,DIY,500,0,failed
successful,Music,"Country & Folk",3000,3170,successful
successful,Games,"Tabletop Games",1000,14976.09,successful
successful,Photography,Photography,2400,2875,successful
failed,"Film & Video",Shorts,1200,126,failed
successful,"Film & Video",Shorts,5000,8133.72,successful
failed,Music,Music,10000,2266,failed
failed,Publishing,"Children's Books",20000,10,failed
failed,Crafts,Crafts,1000,0,failed
successful,Publishing,Fiction,4000,4050,successful
failed,Fashion,Accessories,5000,2038,failed
failed,Food,Food,750,1,failed
failed,"Film & Video",Documentary,15000,155,failed
failed,Journalism,Journalism,1000,0,failed
failed,Fashion,Fashion,3000,997,failed
failed,Music,Jazz,900,345,failed
failed,Music,"Electronic Music",85,1,failed
failed,"Film & Video","Film & Video",5000,0,failed
failed,Design,Architecture,10000,7521,failed
failed,"Film & Video",Documentary,5500,686,failed
failed,Technology,Software,150000,64,failed
failed,Fashion,Footwear,30000,15462,failed
successful,Technology,Hardware,8000,15922,successful
failed,Comics,Comics,35000,7305,failed
successful,Comics,Comics,4000,13428,successful
failed,Food,Spaces,10000,1106,failed
failed,"Film & Video","Science Fiction",10000,40,failed
failed,"Film & Video",Webseries,40000,1811,failed
successful,"Film & Video",Shorts,7000,7025,successful
successful,"Film & Video",Documentary,5000,7493,successful
successful,Music,"Country & Folk",1500,2500,successful
failed,Technology,Web,74000,125,failed
successful,Games,"Video Games",500,1107,successful
successful,Music,Music,8000,8140,successful
failed,"Film & Video",Webseries,4000,0,failed
failed,Publishing,Fiction,2134.59,10,failed
failed,Technology,Hardware,27000,1172,failed
failed,Publishing,Poetry,1500,0,failed
failed,Design,"Product Design",10000,160,failed
failed,Publishing,Nonfiction,5000,699,failed
successful,Design,"Product Design",50000,57187.3,successful
failed,Publishing,Periodicals,60000,5,failed
failed,Publishing,"Children's Books",800,1,failed
successful,Music,"Country & Folk",10000,10780,successful
failed,Comics,"Comic Books",5000,101,failed
failed,Art,"Mixed Media",20000,5,failed
successful,Comics,"Comic Books",7500,20917,successful
failed,Technology,Sound,20000,12336,failed
failed,Design,"Product Design",10000,1740,failed
successful,Art,Sculpture,2000,2000.92,successful
failed,Food,Drinks,40000,9732,failed
successful,"Film & Video",Documentary,96500,97086.95,successful
successful,Art,"Public Art",10000,14950,successful
failed,Technology,Hardware,50000,6701,failed
successful,"Film & Video",Drama,24443,24473.99,successful
failed,Publishing,Nonfiction,5000,1,failed
failed,Dance,Dance,10000,75,failed
successful,Music,Pop,4000,4342,successful
successful,Publishing,Nonfiction,3000,5230,successful
failed,Publishing,Nonfiction,50000,0,failed
successful,Publishing,"Children's Books",6000,6261,successful
successful,Technology,Robots,5000,5933,successful
failed,Food,Food,10000,3040,failed
failed,Art,Art,10,0,failed
successful,"Film & Video",Shorts,5399,5811.23,successful
failed,Technology,Gadgets,1000,0,failed
failed,"Film & Video",Shorts,3500,10,failed
failed,Fashion,Apparel,9000,5103,failed
failed,Design,"Product Design",10000,960,failed
failed,Fashion,Accessories,5000,556,failed
failed,Music,Rock,5000,77,failed
successful,Art,"Conceptual Art",2500,2501,successful
successful,Games,"Video Games",3000,4160,successful
successful,Music,"Indie Rock",2200,2410,successful
failed,Photography,Photography,6500,20,failed
successful,Technology,Apps,10000,11415,successful
successful,Art,Illustration,1000,1034,successful
failed,Food,Events,15500,195,failed
failed,Games,"Video Games",120000,4382,failed
successful,Publishing,Publishing,10000,12280.66,successful
failed,Journalism,Print,5000,2,failed
failed,Music,Rock,2300,1550,failed
failed,Publishing,"Literary Journals",600,0,failed
successful,Games,"Tabletop Games",5000,63702,successful
successful,"Film & Video",Shorts,2500,3210,successful
failed,Music,Music,1200,220,failed
successful,Technology,Web,20000,40071,successful
failed,Music,"Indie Rock",3350,60,failed
failed,Music,Rock,3500,285,failed
failed,Games,Games,35000,15,failed
successful,Publishing,Nonfiction,12500,14375,successful
successful,Music,Pop,1500,1600,successful
failed,Music,"Indie Rock",2500,80,failed
successful,Music,Punk,1400,2428.43,successful
successful,Music,Pop,2500,2551,successful
successful,Comics,Comics,5500,26810.58,successful
successful,Design,"Product Design",2000,2228,successful
failed,"Film & Video","Narrative Film",10000,296,failed
failed,"Film & Video",Webseries,30000,540,failed
successful,Music,Music,5000,5350,successful
successful,Theater,Theater,2000,2220,successful
failed,Design,"Product Design",500,380,failed
failed,Food,"Food Trucks",35000,540,failed
failed,"Film & Video",Horror,1500,2,failed
failed,Art,Painting,5000,10,failed
failed,Art,Painting,4800,0,failed
successful,"Film & Video","Film & Video",48000,60297,successful
successful,Comics,Comics,55000,219327.22,successful
failed,Fashion,Fashion,20000,33,failed
successful,Art,"Public Art",3000,4061,successful
failed,Technology,Apps,40000,6,failed
successful,"Film & Video",Documentary,5850,5854.82,successful
successful,"Film & Video",Webseries,28785,31801,successful
successful,Art,Art,675,681,successful
successful,"Film & Video",Comedy,200,540,successful
failed,Design,"Product Design",25000,1262,failed
successful,Art,"Mixed Media",7500,10708.37,successful
successful,Dance,Dance,3000,3805.45,successful
failed,Music,Music,5000,629,failed
successful,Theater,Theater,4750,5000,successful
successful,Music,Rock,700,759.66,successful
failed,Publishing,"Art Books",6000,1387,failed
failed,Publishing,"Children's Books",3000,0,failed
failed,Theater,Theater,1000,235,failed
failed,Technology,Technology,40000,0,failed
successful,Fashion,Couture,12500,15264,successful
failed,Technology,Sound,10000,426,failed
failed,"Film & Video",Documentary,5313,179,failed
successful,"Film & Video",Documentary,15000,15662,successful
failed,Food,Farms,6000,760,failed
successful,Food,Bacon,12,40,successful
successful,"Film & Video",Drama,900,925,successful
failed,Fashion,Accessories,3500,1064.11,failed
failed,Games,"Tabletop Games",18000,1957,failed
successful,Design,"Product Design",5000,11048,successful
successful,Art,Illustration,5000,6360,successful
successful,"Film & Video",Documentary,85000,86935,successful
failed,Publishing,Publishing,8000,0,failed
successful,Music,Music,10500,12045,successful
failed,Technology,Software,2000,456,failed
failed,Photography,People,5000,1648,failed
failed,Food,Food,4500,175,failed
failed,Publishing,Publishing,5000,380,failed
successful,Art,Art,300,475,successful
successful,Music,Pop,5000,5026.12,successful
failed,Fashion,Accessories,10000,2675,failed
successful,Music,Music,15000,21681,successful
failed,Fashion,Fashion,5000,156,failed
failed,Music,Music,7350,125,failed
failed,Food,Food,250000,394,failed
failed,Photography,Photography,16000,366,failed
failed,Games,"Playing Cards",8000,3433,failed
failed,Publishing,Nonfiction,10000,1470,failed
successful,Food,Drinks,7500,7915,successful
successful,"Film & Video",Documentary,50000,72733.54,successful
failed,Design,"Product Design",5000,1157,failed
failed,"Film & Video","Film & Video",975,0,failed
successful,Music,"World Music",1200,1426.01,successful
successful,Crafts,Knitting,3000,8744,successful
successful,"Film & Video",Shorts,2000,2060,successful
failed,Music,Jazz,50000,101,failed
failed,Theater,Theater,1000,75,failed
successful,Dance,Dance,12000,12159,successful
successful,Art,Ceramics,3500,3725,successful
successful,Games,"Tabletop Games",1000,1039.16,successful
failed,Art,"Performance Art",15000,8976,failed
failed,Photography,Photography,2340,435,failed
failed,Food,Restaurants,3000,0,failed
failed,Music,Pop,5000,215,failed
failed,Art,Illustration,300,20,failed
successful,Music,Faith,15000,16766.77,successful
successful,Publishing,Academic,900,2805,successful
successful,Art,"Mixed Media",2000,3204.45,successful
failed,Games,"Video Games",5000,369,failed
failed,Fashion,Fashion,800,303,failed
successful,Technology,Hardware,100000,102608.01,successful
successful,Music,Pop,8000,8296,successful
failed,Fashion,Fashion,8000,5,failed
failed,Comics,"Graphic Novels",30000,3217,failed
failed,Food,"Food Trucks",6500,76,failed
failed,Games,"Video Games",25000,361,failed
failed,Food,Food,27500,50,failed
failed,Games,"Tabletop Games",15750,402,failed
successful,Design,"Product Design",13000,52103,successful
failed,"Film & Video",Animation,500,10,failed
failed,Fashion,Fashion,50000,628,failed
failed,Design,"Product Design",10000,3234,failed
successful,Fashion,Accessories,100,158,successful
successful,"Film & Video","Film & Video",7500,7623,successful
failed,Food,Food,20000,160,failed
failed,"Film & Video",Shorts,5000,0,failed
successful,Crafts,Knitting,3000,3205,successful
successful,Music,Music,5000,5384,successful
failed,Fashion,Jewelry,2600,8,failed
failed,Technology,Web,2000,0,failed
failed,Publishing,Nonfiction,25000,528,failed
successful,Games,"Tabletop Games",5000,7285,successful
successful,Technology,"Camera Equipment",50000,63421,successful
failed,Technology,Web,10000,25,failed
successful,Music,Rock,6000,6000,successful
failed,Publishing,"Children's Books",12000,380,failed
failed,Art,Illustration,2300,20,failed
failed,Publishing,Fiction,750,70,failed
successful,Art,Painting,700,1066,successful
successful,Games,"Tabletop Games",1000,5209,successful
successful,Comics,Webcomics,9000,14203,successful
failed,"Film & Video",Webseries,5000,250,failed
failed,Photography,Photography,4000,125,failed
failed,"Film & Video","Film & Video",100000,0,failed
failed,Publishing,Fiction,12000,6083,failed
failed,"Film & Video",Horror,22000,430,failed
successful,"Film & Video",Webseries,5200,5975,successful
failed,Technology,Technology,8999,571,failed
successful,Technology,Technology,70000,108683.52,successful
failed,Technology,Software,2500,0,failed
successful,Fashion,Fashion,1500,1600,successful
successful,Music,"Country & Folk",7000,7394,successful
failed,Crafts,Crafts,12000,7,failed
successful,Music,Music,17500,18121,successful
successful,Design,"Graphic Design",2400,6538,successful
failed,Technology,Web,15000,3,failed
failed,Music,Music,20000,4490,failed
failed,Games,"Tabletop Games",4000,38,failed
failed,Food,Food,19000,125,failed
successful,Music,"Indie Rock",4000,4537.5,successful
successful,Games,"Tabletop Games",500,4393,successful
successful,Comics,"Comic Books",1000,6659,successful
successful,Publishing,Nonfiction,8500,8727,successful
successful,Crafts,Knitting,1000,2210,successful
failed,Music,"Indie Rock",10000,20,failed
successful,"Film & Video",Documentary,3500,3663,successful
failed,Games,"Tabletop Games",30000,6231,failed
failed,Publishing,Fiction,1500,34,failed
failed,Fashion,Apparel,5000,0,failed
failed,Design,Architecture,50000,2855,failed
successful,Music,"Indie Rock",5000,5287.55,successful
failed,Technology,Apps,6500,0,failed
failed,Art,"Mixed Media",500,0,failed
failed,Technology,Technology,40000,3480,failed
successful,Games,"Tabletop Games",12000,12136,successful
failed,"Film & Video","Film & Video",1100,5,failed
failed,Publishing,Poetry,5000,5,failed
failed,Publishing,"Children's Books",6000,1,failed
failed,Fashion,Jewelry,700,0,failed
successful,"Film & Video",Documentary,1500,1663,successful
successful,"Film & Video",Shorts,1200,1293,successful
failed,Publishing,Nonfiction,40000,9758.05,failed
failed,Games,"Video Games",10000,120,failed
failed,"Film & Video",Drama,325000,1077,failed
successful,Theater,Plays,1600,2015,successful
failed,Photography,Photography,1500,34,failed
failed,Music,Faith,3000,1,failed
successful,Games,"Tabletop Games",9000,24069,successful
failed,Music,"Indie Rock",1600,140,failed
failed,Music,Hip-Hop,10000,0,failed
failed,Music,Music,600,228,failed
failed,Fashion,Ready-to-wear,230,0,failed
successful,"Film & Video","Narrative Film",1400,1400,successful
successful,Comics,"Graphic Novels",1500,2148,successful
failed,Art,"Mixed Media",3500,0,failed
failed,Publishing,Academic,5000,351,failed
failed,"Film & Video",Drama,16000,0,failed
successful,Games,"Video Games",600,1671,successful
failed,Publishing,"Children's Books",5900,235,failed
failed,Music,"World Music",5000,1,failed
failed,"Film & Video","Film & Video",100000,3475,failed
successful,Design,"Product Design",40000,41864,successful
failed,Art,Art,50000,0,failed
failed,Art,Illustration,4500,1865,failed
failed,"Film & Video",Webseries,400000,0,failed
failed,Crafts,Crafts,4000,400,failed
failed,Music,Metal,250,60,failed
successful,"Film & Video",Documentary,25000,29525.5,successful
successful,"Film & Video","Film & Video",1031,1146.66,successful
failed,Food,Food,40,0,failed
successful,Games,"Tabletop Games",500,965,successful
failed,Fashion,Apparel,50000,26042,failed
failed,Publishing,Publishing,20000,3232,failed
successful,Music,Rock,4000,4530,successful
failed,Crafts,DIY,5000,1332,failed
failed,Technology,Gadgets,50000,38934,failed
failed,Journalism,Photo,3900,0,failed
successful,Music,Jazz,6000,6300,successful
failed,Art,Painting,5750,46,failed
failed,"Film & Video",Documentary,100000,4930,failed
failed,Music,R&B,18500,306,failed
successful,"Film & Video",Documentary,5000,6350,successful
failed,Music,Music,3000,20,failed
failed,Technology,Hardware,725000,142368,failed
failed,Fashion,Apparel,4000,0,failed
successful,Theater,Theater,2200,3410,successful
failed,Food,Restaurants,45000,1,failed
successful,Publishing,"Children's Books",7500,8109.69,successful
failed,Music,Music,1500,20,failed
failed,Publishing,"Children's Books",7500,5,failed
successful,Theater,Theater,7000,7470,successful
successful,Photography,Photography,15000,17467,successful
failed,Technology,Hardware,125000,721,failed
failed,Design,"Product Design",4950,1163,failed
failed,Photography,Photobooks,16000,2970,failed
successful,Publishing,Publishing,5000,5165,successful
successful,Publishing,Nonfiction,2000,2460,successful
failed,"Film & Video",Documentary,10000,1031,failed
failed,Publishing,Publishing,100,0,failed
successful,Music,Music,500,1065,successful
failed,Design,"Product Design",85000,516,failed
failed,Journalism,Journalism,15000,3581,failed
successful,Music,"Indie Rock",500,502,successful
failed,Technology,Gadgets,35000,379,failed
successful,Music,"Country & Folk",3300,3860,successful
failed,Comics,Comics,26000,715,failed
successful,Music,"Indie Rock",2000,3675,successful
failed,"Film & Video",Documentary,12500,191,failed
successful,Games,"Tabletop Games",25000,631230.58,successful
successful,Games,"Video Games",4000,5115.66,successful
failed,Crafts,Crafts,1500,30,failed
failed,Music,Music,2500,0,failed
failed,Photography,Photography,1500,0,failed
successful,Games,"Tabletop Games",8000,29538,successful
failed,Technology,Technology,42000,105,failed
failed,Food,"Food Trucks",10000,33,failed
successful,Fashion,Accessories,6200,7490,successful
failed,Publishing,Fiction,15000,60,failed
successful,Games,"Tabletop Games",1000,12071,successful
failed,Publishing,Nonfiction,5000,175,failed
failed,Publishing,Fiction,5000,0,failed
failed,Design,Architecture,20000,1,failed
successful,"Film & Video",Shorts,1000,1065,successful
failed,Comics,Comics,26000,39,failed
failed,Design,"Product Design",7500,73,failed
successful,Publishing,Periodicals,1700,1991,successful
failed,Music,Music,12000,2882,failed
failed,"Film & Video","Film & Video",5000,240,failed
successful,"Film & Video","Narrative Film",4500,4530,successful
failed,"Film & Video",Documentary,5000,55,failed
failed,Music,Rock,3500,550,failed
failed,Publishing,"Children's Books",8714,1660,failed
successful,"Film & Video","Science Fiction",12000,15649,successful
failed,Fashion,Fashion,9500,420,failed
failed,Art,Painting,4500,100,failed
failed,Crafts,Crafts,15000,26,failed
failed,Design,"Product Design",5000,473,failed
successful,Games,"Tabletop Games",4200,8223.11,successful
failed,Crafts,Crafts,9800,1503,failed
failed,Publishing,Fiction,1000,396,failed
successful,Publishing,"Radio & Podcasts",1500,1877,successful
successful,Theater,Plays,900,1025,successful
failed,Design,"Product Design",5000,156,failed
successful,Music,Faith,3400,3437,successful
failed,"Film & Video",Documentary,50000,11044,failed
successful,"Film & Video",Documentary,6500,7018,successful
successful,"Film & Video",Thrillers,2000,2000,successful
failed,Technology,Apps,20000,17,failed
failed,Games,"Video Games",90000,11,failed
successful,Music,Music,550,1015,successful
failed,Food,Bacon,1000,51,failed
failed,"Film & Video",Webseries,3000,361,failed
failed,Technology,Apps,50000,290,failed
successful,Art,"Conceptual Art",12000,12149.01,successful
failed,Games,"Video Games",346532,13305,failed
failed,"Film & Video","Film & Video",10000,150,failed
successful,Fashion,Apparel,6500,9712,successful
successful,"Film & Video","Film & Video",6000,7365,successful
successful,Technology,Technology,12500,16055,successful
failed,Publishing,Publishing,5000,1041,failed
successful,"Film & Video",Documentary,5000,5000,successful
failed,Food,"Small Batch",7500,1295,failed
failed,Games,"Live Games",285000,1,failed
failed,Technology,Technology,20000,1066,failed
failed,Food,Spaces,3200,415,failed
successful,"Film & Video",Animation,40000,102869.1,successful
failed,Games,"Mobile Games",40000,10,failed
successful,Photography,"Fine Art",300,1025,successful
successful,"Film & Video",Documentary,15000,15963,successful
failed,Fashion,Fashion,1000,0,failed
failed,Technology,Apps,25000,1,failed
successful,Technology,"DIY Electronics",5000,6382,successful
failed,Publishing,Fiction,1000,484,failed
failed,Design,Design,38500,1278,failed
failed,Art,Art,5500,1066,failed
successful,Art,"Performance Art",15000,25190,successful
failed,Comics,"Comic Books",10000,3006,failed
failed,Art,Illustration,450,0,failed
failed,Publishing,"Children's Books",5000,0,failed
successful,Theater,Theater,5900,6965,successful
failed,Design,"Product Design",150000,11125,failed
failed,Art,Painting,8440,50,failed
successful,Design,"Product Design",300,1736,successful
failed,"Film & Video","Film & Video",15000,1135,failed
successful,Food,Restaurants,12000,12100,successful
failed,Art,Art,2000,75,failed
successful,Crafts,Stationery,3000,3021,successful
failed,Food,Food,19000,4107,failed
failed,Music,Hip-Hop,5000,35,failed
failed,Art,Painting,5000,2,failed
successful,Theater,Theater,3600,3675,successful
successful,"Film & Video","Film & Video",15000,15201,successful
successful,Theater,Theater,1500,1508,successful
failed,Design,"Product Design",2400,70,failed
failed,Art,"Mixed Media",530,120,failed
failed,Theater,Experimental,100000,0,failed
failed,"Film & Video","Narrative Film",15000,290,failed
failed,"Film & Video",Documentary,45000,125,failed
failed,Food,"Small Batch",10000,2085,failed
failed,Publishing,Nonfiction,247,0,failed
failed,"Film & Video",Shorts,13000,405,failed
successful,Games,"Tabletop Games",5000,8732,successful
successful,Design,"Product Design",15000,161206,successful
failed,Technology,Hardware,8000,6516,failed
successful,Games,"Tabletop Games",10000,16410.5,successful
failed,Photography,Photography,60000,4720,failed
successful,Design,"Product Design",100000,579583.99,successful
successful,Technology,Wearables,15000,15627,successful
successful,Theater,Theater,200,241,successful
failed,Publishing,Nonfiction,4850,0,failed
successful,Comics,Comics,3500,4181.31,successful
successful,Design,"Product Design",50000,60596,successful
failed,Music,Hip-Hop,7000,0,failed
failed,Music,"Electronic Music",800,0,failed
successful,"Film & Video",Documentary,600,925,successful
successful,Theater,Theater,3500,4179,successful
successful,"Film & Video",Documentary,9000,10003,successful
failed,"Film & Video",Horror,2000,10,failed
successful,Publishing,Publishing,20000,21141,successful
failed,Theater,Theater,5000,905,failed
failed,Publishing,"Children's Books",2000,20,failed
failed,Photography,Photography,15000,21,failed
failed,"Film & Video",Webseries,7300,4570,failed
failed,Publishing,Fiction,10000,0,failed
failed,Design,Design,165000,8,failed
successful,Music,Hip-Hop,3000,3695,successful
successful,Games,"Gaming Hardware",30000,30407,successful
failed,Art,Painting,1859,520,failed
failed,Publishing,Publishing,5000,360,failed
successful,"Film & Video",Animation,4999,7172.55,successful
successful,Theater,Musical,1200,1355,successful
failed,Design,"Graphic Design",2550,0,failed
failed,"Film & Video",Documentary,50000,1183,failed
successful,Fashion,Fashion,6500,10616.22,successful
successful,Photography,Photography,5000,5023,successful
failed,Technology,Apps,500000,25,failed
successful,"Film & Video","Narrative Film",50000,58235,successful
failed,Design,"Product Design",20000,0,failed
successful,"Film & Video","Music Videos",3000,3345,successful
successful,Art,"Mixed Media",8000,8458,successful
successful,Comics,Comics,5000,12892,successful
failed,Music,Music,2500,858,failed
failed,Music,Music,25000,191,failed
successful,Food,Drinks,10000,10321,successful
failed,"Film & Video",Horror,55000,102,failed
successful,Fashion,Fashion,10000,12531,successful
successful,Music,Rock,6500,6726,successful
failed,Art,Art,100000,70873,failed
failed,Art,Art,6000,263,failed
successful,Publishing,Fiction,1650,1751,successful
failed,Photography,Photography,3000,240,failed
failed,Theater,Musical,6000,126,failed
failed,"Film & Video","Film & Video",150,130,failed
failed,Food,Food,2000,1200,failed
failed,Art,Art,50000,312,failed
failed,Crafts,Crafts,5000,296,failed
successful,Publishing,Publishing,5500,6010,successful
successful,Art,Installations,3000,3811,successful
successful,Design,"Product Design",1000,1118,successful
failed,Food,Drinks,11000,1,failed
successful,Music,"Indie Rock",600,760,successful
failed,Journalism,Print,35000,3373,failed
successful,Food,"Farmer's Markets",500,575,successful
failed,Publishing,"Art Books",10000,3700,failed
failed,Technology,Apps,60000,36000,failed
failed,"Film & Video","Film & Video",2000,210,failed
successful,Design,"Product Design",15000,16303,successful
successful,Art,Art,4000,5037,successful
successful,Publishing,Nonfiction,600,646,successful
successful,Design,"Product Design",5000,60338,successful
successful,Design,"Product Design",6000,24032,successful
successful,Technology,Technology,75000,94301,successful
failed,Publishing,"Children's Books",30000,0,failed
successful,Art,Art,3750,4050,successful
successful,Design,"Product Design",2500,2745,successful
successful,"Film & Video",Shorts,4000,4474,successful
failed,Music,"Country & Folk",1500,160,failed
successful,"Film & Video",Documentary,4500,4847,successful
successful,Food,Drinks,18000,36660,successful
failed,"Film & Video",Shorts,2500,30,failed
failed,Technology,Apps,20000,751,failed
successful,Art,"Mixed Media",2500,2535,successful
successful,Fashion,Apparel,10000,168782.18,successful
failed,Design,"Product Design",10000,10,failed
failed,Theater,Theater,20000,1225,failed
failed,Music,Jazz,7500,6030,failed
failed,Publishing,"Children's Books",2600,0,failed
successful,Games,"Tabletop Games",8000,13160,successful
successful,Art,Sculpture,3000,4010,successful
failed,"Film & Video",Documentary,15000,0,failed
successful,Publishing,Nonfiction,1000,1615,successful
failed,"Film & Video",Thrillers,6500,50,failed
successful,Publishing,Nonfiction,12500,16010,successful
failed,Music,Hip-Hop,25000,0,failed
successful,Publishing,"Art Books",900,3930.22,successful
failed,Music,Music,9500,1870,failed
failed,"Film & Video",Animation,100000,25152,failed
successful,Food,Events,10000,11762,successful
successful,Games,"Tabletop Games",2000,2819.77,successful
failed,"Film & Video",Documentary,50000,1.23,failed
failed,Theater,Theater,10000,725,failed
failed,Design,"Product Design",5000,740,failed
failed,Publishing,Fiction,22000,2,failed
failed,Games,"Video Games",3000,367,failed
successful,Art,Sculpture,800,1668,successful
failed,Music,Music,1500,60,failed
successful,Music,Rock,4000,4040,successful
failed,Technology,Technology,500,260,failed
failed,Music,Hip-Hop,700,1,failed
successful,Music,"Country & Folk",1650,1735.01,successful
failed,"Film & Video",Shorts,5000,215,failed
failed,"Film & Video",Animation,25000,440,failed
successful,Publishing,Fiction,5000,5407.55,successful
successful,Music,Rock,3000,3010,successful
successful,Comics,Comics,1000,2065,successful
failed,Art,"Public Art",500,250,failed
successful,Design,"Product Design",3000,44175,successful
successful,"Film & Video",Shorts,7000,7147,successful
successful,Comics,Anthologies,4000,5053,successful
successful,Music,Rock,1500,2046,successful
successful,Crafts,Stationery,3167,3187,successful
failed,Crafts,Crafts,2000,20,failed
failed,Music,Pop,12000,22,failed
successful,Fashion,Jewelry,5000,5652,successful
failed,Games,"Tabletop Games",20000,1516,failed
failed,Music,"Indie Rock",9919,120,failed
failed,Music,"World Music",6000,1928,failed
failed,"Film & Video",Documentary,9980,53,failed
successful,Music,Music,5000,5435.85,successful
failed,Music,"Country & Folk",4800,345,failed
successful,"Film & Video",Comedy,7000,7913,successful
successful,Theater,Theater,41000,41532,successful
failed,"Film & Video","Narrative Film",80000,125,failed
failed,Food,Food,1000,226,failed
failed,Music,Hip-Hop,4000,96,failed
successful,Games,"Tabletop Games",6000,9143,successful
failed,Food,Food,15000,307,failed
successful,"Film & Video",Shorts,3750,3960,successful
failed,"Film & Video",Documentary,20000,126,failed
failed,"Film & Video",Documentary,7500,387,failed
successful,"Film & Video",Documentary,14000,14000.88,successful
successful,"Film & Video",Shorts,500,610,successful
failed,Music,Rock,2500,56,failed
failed,Art,Illustration,2500,45,failed
failed,Photography,People,4500,2026,failed
failed,"Film & Video","Film & Video",2500,821,failed
successful,Publishing,Nonfiction,18500,20279,successful
failed,Theater,Musical,6000,385,failed
successful,Music,"Indie Rock",1500,1723,successful
successful,Games,"Playing Cards",2000,2094,successful
failed,Fashion,Fashion,15000,77,failed
failed,Publishing,Fiction,15000,0,failed
successful,Art,"Performance Art",10000,10350,successful
successful,Theater,Theater,300,520,successful
failed,Fashion,Fashion,2500,0,failed
successful,Food,Restaurants,28000,35735,successful
successful,Comics,Webcomics,10000,53387.95,successful
failed,Music,Faith,10000,21,failed
failed,Food,Drinks,5000,803,failed
successful,Fashion,Jewelry,15000,19218,successful
failed,"Film & Video",Shorts,4400,1531.98,failed
failed,Music,Music,3000,0,failed
successful,Games,"Playing Cards",12500,14090.5,successful
successful,"Film & Video",Documentary,800,1016,successful
successful,Publishing,"Children's Books",500,576,successful
failed,"Film & Video",Comedy,10000,0,failed
failed,Games,"Live Games",500,124,failed
successful,Music,Music,1500,1528.66,successful
successful,Design,"Product Design",5000,15528,successful
failed,Crafts,Crafts,2000,128,failed
failed,Fashion,Fashion,3000,510,failed
successful,Music,"World Music",3000,3920,successful
